name,filename,filesize
Assets 1 zip,assets (1).zip,96144903
Assets 2 zip,assets (2).zip,122350118
Assets 3 zip,assets (3).zip,156621401
Assets 4 zip,assets (4).zip,209533459
Assets 5 zip,assets (5).zip,264481444
Assets 6 zip,assets (6).zip,286083442
Assets 7 zip,assets (7).zip,304229725
Assets 8 zip,assets (8).zip,327313240
Assets 9 zip,assets (9).zip,48742416
Black,black.jpg,1648022
Blue triangle,blue-triangle-crop.jpg,222968
Collage 3,collage3.jpg,480960
Chilopoda Mair Hughes,crop-Chilopoda-Mair-Hughes.jpg,449654
Mair Hughes Table,crop-Mair-Hughes-Table.jpg,779464
De Bayonne,de Bayonne.jpg,309140
Drawing 1,drawing1.jpg,438610
Dreadlock,dreadlock.jpg,481840
GG,gg50%.jpg,417144
Image,image.jpg,97960
Image 1,image1.jpg,172310
Image 10,image10.jpg,354907
Image 11,image11.jpg,306640
Image 12,image12.jpg,292362
Image 13,image13.jpg,484942
Image 14,image14.jpg,360961
Image 15,image15.jpg,364068
Image 16,image16.jpg,326175
Image 17,image17.jpg,170543
Image 18,image18.jpg,309880
Image 19,image19.jpg,279319
Image 2,image2.jpg,154793
Image 3,image3.jpg,346734
Image 4,image4.jpg,383707
Image 5,image5.jpg,194830
Image 6,image6.jpg,81937
Image 7,image7.jpg,195684
Image 8,image8.jpg,420910
Image 9,image9.jpg,344715
Model 001,ja001_model_001.jpg,336364
Model 002,ja001_model_002.jpg,668429
Model 004,ja001_model_004.jpg,693572
Model 005,ja001_model_005.jpg,324817
Model 006,ja001_model_006.jpg,357348
Model 007 holographic rainbow,ja001_model_007holographicrainbow.jpg,712105
Model 008 gold,ja001_model_008gold.jpg,684302
Model 009 holographic silver,ja001_model_009holographicsilver.jpg,700839
Model 010 holographic rainbow,ja001_model_010holographicrainbow.jpg,791326
Model 011 silver,ja001_model_011silver.jpg,725572
Model 012 black,ja001_model_012black.jpg,725073
Products 001,ja001_products_001.jpg,419938
Products 002,ja001_products_002.jpg,444063
Logo favicon,jess-logo_favicon_blk.gif,908
Logo 2018,logo2018.png,10010
Orange square,orange-square-crop.jpg,196025
Poster,poster.jpg,38975
Sprue,sprue.jpg,4141346
Trio,trio.jpg,1065701
Where We Used To Go Centre of Gravity,web-Jessica_Akerman-Where_We_Used_To_Go-Centre_of_Gravity-Photo_Benjamin_Jones.jpg,92216
Wall Hangings,web-Resized+Jessica+Akerman+Wall+Hangings+Benjamin+Jones.jpg,146424
Centre of Gravity 1,web-resized 3Centre of Gravity Jessica  Jo Hounsome Photography_1.jpg,151296
Centre of Gravity 11,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_11.jpg,93585
Centre of Gravity 13,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_13.jpg,128134
Centre of Gravity 14,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_14.jpg,82118
Centre of Gravity 15,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_15.jpg,84267
Centre of Gravity 17,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_17.jpg,93843
Centre of Gravity 20,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_20.jpg,117124
Centre of Gravity 5,web-resized Centre of Gravity Jessica  Jo Hounsome Photography_5.jpg,64566
Centre of Gravity 10,web-resized1Centre of Gravity Jessica _24 Jo Hounsome Photography_10.jpg,140767
Centre of Gravity 19,web-resized2Centre of Gravity Jessica  Jo Hounsome Photography_19.jpg,62516
MIR Trinity flag,web-sm-MIR_Trinity_flag_JAkerman.jpg,147707
White,white.jpg,1616914
Wide crop,wide-crop-thosepicturedays.com.jpg,319389
Working 2 crop,working-2-crop-thosepicturedays.com.jpg,310037
Working crop,working-crop-thosepicturedays.com.jpg,283788
Yellow circle,yellow-circle-crop.jpg,221926
Urban Installation,Fit+in.jpg,172000
Spheres in Pink,Engorged.jpg,240900
Paper Series #4,Josiah+Heads.jpg,137500
